2026-02-27 14:58:39,637 [main] INFO  [] [] framework.drivers.DriverManager - Navigated to Base URL: https://automationexercise.com/
2026-02-27 14:58:39,645 [main] INFO  [] [] test.LoginTest - Initial Setup is completed
2026-02-27 14:58:39,696 [main] INFO  [qa] [Test_AE01_TC02_Verify_Login_CorrectDetails] framework.listeners.TestListener - ----------- Starting Test : Test_AE01_TC02_Verify_Login_CorrectDetails --------------
2026-02-27 14:58:39,697 [main] INFO  [qa] [Test_AE01_TC02_Verify_Login_CorrectDetails] test.LoginTest - =======================================================
2026-02-27 14:58:39,698 [main] INFO  [qa] [Test_AE01_TC02_Verify_Login_CorrectDetails] test.LoginTest - Start, Case:2 - Login with correct email and password
2026-02-27 14:58:39,698 [main] INFO  [qa] [Test_AE01_TC02_Verify_Login_CorrectDetails] test.LoginTest - =======================================================
2026-02-27 14:58:39,714 [main] INFO  [qa] [Test_AE01_TC02_Verify_Login_CorrectDetails] test.LoginTest - Running, Step:1 - Navigate to SignUp page
2026-02-27 14:58:42,575 [main] INFO  [qa] [Test_AE01_TC02_Verify_Login_CorrectDetails] test.LoginTest - Running, Step: 2 - Entering Signup credentials
2026-02-27 14:58:47,698 [main] INFO  [qa] [Test_AE01_TC02_Verify_Login_CorrectDetails] test.LoginTest - Running, Step: 3 - Enter user account details
2026-02-27 14:58:55,968 [main] INFO  [qa] [Test_AE01_TC02_Verify_Login_CorrectDetails] pages.ae.SignupDetailPage - Checkbox: Newsletter is set to: true
2026-02-27 14:58:56,018 [main] INFO  [qa] [Test_AE01_TC02_Verify_Login_CorrectDetails] pages.ae.SignupDetailPage - Checkbox: Special Offers is set to: false
2026-02-27 14:59:10,929 [main] INFO  [qa] [Test_AE01_TC02_Verify_Login_CorrectDetails] test.LoginTest - Running, Step: 4 - Verify account is created
2026-02-27 14:59:12,887 [main] INFO  [qa] [Test_AE01_TC02_Verify_Login_CorrectDetails] test.LoginTest - Running, Step: 5 - verify user is able to logout and navigate to login page
2026-02-27 14:59:17,371 [main] INFO  [qa] [Test_AE01_TC02_Verify_Login_CorrectDetails] test.LoginTest - Running, Step: 6 - verify Login to your account is visible and enter Email and Password
2026-02-27 14:59:21,962 [main] INFO  [qa] [Test_AE01_TC02_Verify_Login_CorrectDetails] test.LoginTest - Running, Step: 7 - Logged in as username is visible
2026-02-27 14:59:22,032 [main] INFO  [qa] [Test_AE01_TC02_Verify_Login_CorrectDetails] test.LoginTest - Running, Step:8 - Delete Account
2026-02-27 14:59:25,215 [main] INFO  [qa] [Test_AE01_TC02_Verify_Login_CorrectDetails] test.LoginTest - ==========End Case: Login user with correct details===========
2026-02-27 14:59:25,237 [main] INFO  [qa] [Test_AE01_TC02_Verify_Login_CorrectDetails] framework.listeners.TestListener - {Test Passed: Test_AE01_TC02_Verify_Login_CorrectDetails
2026-02-27 14:59:26,782 [main] INFO  [] [] framework.drivers.DriverManager - Closed Browser !!
2026-02-27 14:59:26,782 [main] INFO  [] [] test.LoginTest - Driver Shutdown successful !!
2026-02-27 14:59:26,799 [main] INFO  [] [] framework.drivers.DriverManager - Initiating the Driver.....
2026-02-27 14:59:28,863 [main] INFO  [] [] framework.drivers.DriverManager - Launching Browser. HeadlessMode: false 
2026-02-27 14:59:29,026 [main] INFO  [] [] framework.drivers.DriverManager - Browser context launched
2026-02-27 14:59:30,097 [main] INFO  [] [] framework.drivers.DriverManager - Browser Page opened.
2026-02-27 14:59:38,964 [main] INFO  [] [] framework.drivers.DriverManager - Navigated to Base URL: https://automationexercise.com/
2026-02-27 14:59:38,964 [main] INFO  [] [] test.LoginTest - Initial Setup is completed
2026-02-27 14:59:38,972 [main] INFO  [qa] [Test_AE01_TC03_Verify_Login_Incorrect_MailPwd] framework.listeners.TestListener - ----------- Starting Test : Test_AE01_TC03_Verify_Login_Incorrect_MailPwd --------------
2026-02-27 14:59:38,973 [main] INFO  [qa] [Test_AE01_TC03_Verify_Login_Incorrect_MailPwd] test.LoginTest - =====================================================================
2026-02-27 14:59:38,973 [main] INFO  [qa] [Test_AE01_TC03_Verify_Login_Incorrect_MailPwd] test.LoginTest - Start, Case:3 - Entering Incorrect Login Details(Mail and Password)
2026-02-27 14:59:38,973 [main] INFO  [qa] [Test_AE01_TC03_Verify_Login_Incorrect_MailPwd] test.LoginTest - =====================================================================
2026-02-27 14:59:38,974 [main] INFO  [qa] [Test_AE01_TC03_Verify_Login_Incorrect_MailPwd] test.LoginTest - Running, Step:1 - Navigate to Login page and check 'Login into your acccount' is visible
2026-02-27 14:59:41,564 [main] INFO  [qa] [Test_AE01_TC03_Verify_Login_Incorrect_MailPwd] test.LoginTest - Running, Step:2 - Entering user credentials
2026-02-27 14:59:45,648 [main] INFO  [qa] [Test_AE01_TC03_Verify_Login_Incorrect_MailPwd] test.LoginTest - Running, Step:3 - Verify user is getting error message
2026-02-27 14:59:48,777 [main] INFO  [qa] [Test_AE01_TC03_Verify_Login_Incorrect_MailPwd] test.LoginTest - ==============End Case: Login user with incorrect details==============
2026-02-27 14:59:48,777 [main] INFO  [qa] [Test_AE01_TC03_Verify_Login_Incorrect_MailPwd] framework.listeners.TestListener - {Test Passed: Test_AE01_TC03_Verify_Login_Incorrect_MailPwd
2026-02-27 14:59:50,711 [main] INFO  [] [] framework.drivers.DriverManager - Closed Browser !!
2026-02-27 14:59:50,711 [main] INFO  [] [] test.LoginTest - Driver Shutdown successful !!
2026-02-27 14:59:50,736 [main] INFO  [] [] framework.drivers.DriverManager - Initiating the Driver.....
2026-02-27 14:59:53,206 [main] INFO  [] [] framework.drivers.DriverManager - Launching Browser. HeadlessMode: false 
2026-02-27 14:59:53,456 [main] INFO  [] [] framework.drivers.DriverManager - Browser context launched
2026-02-27 14:59:55,330 [main] INFO  [] [] framework.drivers.DriverManager - Browser Page opened.
2026-02-27 15:00:05,151 [main] INFO  [] [] framework.drivers.DriverManager - Navigated to Base URL: https://automationexercise.com/
2026-02-27 15:00:05,152 [main] INFO  [] [] test.LogoutTest - Initial Setup is completed
2026-02-27 15:00:05,233 [main] INFO  [qa] [Test_AE01_TC04_Verify_LogoutUser] framework.listeners.TestListener - ----------- Starting Test : Test_AE01_TC04_Verify_LogoutUser --------------
2026-02-27 15:00:05,234 [main] INFO  [qa] [Test_AE01_TC04_Verify_LogoutUser] test.LogoutTest - ===============================================
2026-02-27 15:00:05,234 [main] INFO  [qa] [Test_AE01_TC04_Verify_LogoutUser] test.LogoutTest - Start, Case:4 - Verify user is able to logout
2026-02-27 15:00:05,234 [main] INFO  [qa] [Test_AE01_TC04_Verify_LogoutUser] test.LogoutTest - ===============================================
2026-02-27 15:00:05,242 [main] INFO  [qa] [Test_AE01_TC04_Verify_LogoutUser] test.LogoutTest - Running, Step:1 - Navigate to Login page and check 'Login into your acccount' is visible
2026-02-27 15:00:08,225 [main] INFO  [qa] [Test_AE01_TC04_Verify_LogoutUser] test.LogoutTest - Running, Step:2 - Entering user credentials
2026-02-27 15:00:14,067 [main] INFO  [qa] [Test_AE01_TC04_Verify_LogoutUser] test.LogoutTest - Running, Step: 3 - Logged in as username is visible
2026-02-27 15:00:15,042 [main] INFO  [qa] [Test_AE01_TC04_Verify_LogoutUser] test.LogoutTest - Running, Step: 4 - verify user is able to logout and navigate to login page
2026-02-27 15:00:18,265 [main] INFO  [qa] [Test_AE01_TC04_Verify_LogoutUser] test.LogoutTest - ==================End case: Logout User================
2026-02-27 15:00:18,265 [main] INFO  [qa] [Test_AE01_TC04_Verify_LogoutUser] framework.listeners.TestListener - {Test Passed: Test_AE01_TC04_Verify_LogoutUser
2026-02-27 15:00:20,448 [main] INFO  [] [] framework.drivers.DriverManager - Closed Browser !!
2026-02-27 15:00:20,448 [main] INFO  [] [] test.LogoutTest - Driver Shutdown successful !!
2026-02-27 15:00:20,569 [main] INFO  [] [] framework.listeners.TestListener - ===================XXXXXXXXXXXXXXXXXXXXXXXX=================
2026-02-27 15:00:20,579 [main] INFO  [] [] framework.listeners.TestListener - Finished Suite: PW_AE_Demo
2026-02-27 15:00:20,580 [main] INFO  [] [] framework.listeners.TestListener - =============================================================
